State,week_end_num,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
bavaria,2020.0109289617487,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.0300546448088,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.049180327869,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.068306010929,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.0874316939892,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,6.292038066885943e-4,-0,5.928033789854071e-4,-0,-0,-0,-0,-0,5.616030326606649e-4,-0,-0,-0,-0,5.928033789854071e-4,-0,6.032034985870817e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,4.836022487534156e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.1065573770493,-0,-0,7.852059283220514e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,6.188036818867976e-4,-0,-0,-0,-0,-0,-0,5.616030326606649e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,5.044024463558912e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.1256830601094,-0,-0,-0,7.852059283220514e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,6.448039977942706e-4,-0,-0,-0,-0,-0,5.668030890843131e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.1448087431695,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.1639344262296,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,6.240037440305762e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,6.032034985870817e-4,-0,-0,-0,-0,-0,-0,-0,-0,6.656042598781713e-4,-0,-0,-0,5.668030890843131e-4,-0,5.044024463558912e-4,-0,-0,-0,4.732021530722362e-4,-0,-0,-0,-0,-0,5.56402976762801e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
bavaria,2020.1830601092897,-0,-0,-0,-0,7.852059283220514e-4,-0,-0,8.580070785765575e-4,-0,8.892076027462617e-4,-0,-0,-0,-0,-0,8.684072512197225e-4,8.528069930378874e-4,8.424068235148251e-4,-0,7.696056950952293e-4,7.176049514830961e-4,-0,-0,6.240037440305762e-4,0.0018720336968105979,-0,6.188036818867976e-4,5.928033789854071e-4,5.876033199674743e-4,5.668030890843131e-4,0.0010868113572177433,5.616030326606649e-4,-0,5.616030326606649e-4,-0,5.980034385291251e-4,6.032034985870817e-4,-0,-0,0.0017940309472143036,0.0012064139944565,0.0012584152268872082,6.448039977942706e-4,0.0019292357875457782,0.001955236758679912,6.656042598781713e-4,0.0026260663087299776,0.002636466834996906,6.136036202688044e-4,0.002267249426398356,0.00218404586528353,5.044024463558912e-4,9.672089950704858e-4,-0,0.0014144192361890769,4.732021530722362e-4,0.0014144192361890769,9.672089950704858e-4,5.044024463558912e-4,0.0010244100904702265,-0,5.56402976762801e-4,-0,0.0012376147276746286,6.448039977942706e-4,-0,-0,-0,-0,8.112063274260393e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.5080021866187252e-4
