State,week_end_num,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
north-rhine-westphalia,2020.0109289617487,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.0300546448088,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.049180327869,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.068306010929,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.0874316939892,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1065573770493,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1256830601094,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1448087431695,-0,-0,-0,-0,-0,-0,-0,-0,6.604041935742898e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1639344262296,-0,-0,6.084035591650503e-4,6.084035591650503e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,6.552041277961948e-4,-0,-0,6.292038066885943e-4,-0,-0,5.56402976762801e-4,5.460028665213333e-4,0.0010556107144836049,0.00150802186641993,-0,0.0025376619194523737,9.93209485183359e-4,9.516087072476133e-4,0.0014144192361890769,-0,4.4720192297233825e-4,4.576020134534245e-4,-0,4.576020134534245e-4,9.308083307602005e-4,-0,9.672089950704858e-4,4.784022006557077e-4,-0,-0,4.6280205947109467e-4,-0,-0,4.99202396178144e-4,0.0014768209709591054,-0,0.0014924214163493834,-0,-0,4.212017058668906e-4,4.056015818483426e-4,-0,7.1240487998485e-4,3.4840116714657195e-4,-0,-0,3.432011325633059e-4,-0,3.640012740048661e-4,3.692013106681607e-4,3.796013855489989e-4,-0,-0,4.212017058668906e-4,4.3680183457128774e-4,-0,-0,-0,4.940023465146336e-4,5.096024970536484e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,6.760004393909538e-5
north-rhine-westphalia,2020.1830601092897,-0,-0,-0,6.084035591650503e-4,-0,-0,6.34403869872398e-4,-0,-0,6.76004394040201e-4,-0,0.0013364171730351354,0.0012896159913068346,-0,0.00131041651131466,6.500040625323396e-4,6.292038066885943e-4,0.001882434072264451,0.0012272144811884878,5.876033199674743e-4,0.0033385071672246357,0.001097211575622629,0.004227771861252387,0.002511660657093224,0.0059959456729130785,0.004056158192227219,0.0024752589116313678,4.784022006557077e-4,0.0018876342607685472,0.0013832183968856015,0.001783630589441697,4.576020134534245e-4,0.0013468174413623574,9.204081456366061e-4,0.0023192517196952167,9.620088986114335e-4,4.836022487534156e-4,0.0019188354027312412,9.360084240991387e-4,4.680021060145474e-4,4.6280205947109467e-4,9.776091895544216e-4,4.940023465146336e-4,0.0029796853688030733,0.0024648584176076025,0.001518422169069036,0.0019864379412056275,0.0014768209709591054,0.002293250566546213,0.0025220611604778874,8.112063274260393e-4,0.0026000650021664614,0.001778430411332561,0.0017472293536158062,0.0010244100904702265,0.001378018258824673,6.812044618983496e-4,6.968046686044236e-4,0.0018148316689941748,0.0014768209709591054,0.0011336123564175387,3.9000146250986754e-4,0.0012324146041686591,0.0016952276323631062,0.0013156166426210114,9.100079625930854e-4,-0,4.836022487534156e-4,-0,-0,5.148025482771891e-4,-0,-0,-0,-0,0.0016328256354974048,6.396039335704413e-4,0.0019344359807302181,6.76004394040201e-4,5.720031460221995e-4,2.6520067626126557e-4
north-rhine-westphalia,2020.2021857923498,6.34403869872398e-4,-0,-0,6.084035591650503e-4,5.980034385291251e-4,6.240037440305762e-4,6.34403869872398e-4,-0,6.604041935742898e-4,0.001352017576303122,-0,6.656042598781713e-4,6.448039977942706e-4,6.500040625323396e-4,0.00131041651131466,0.0012948161205273085,0.0018928344497984545,0.001253215101301139,-0,5.876033199674743e-4,0.003894945867543119,0.0043785843409866404,0.004227771861252387,0.004518996353235525,0.004997440130846761,0.005070247178565313,0.00792540393112291,0.0033385071672246357,0.007545747457218475,0.0069164599547856965,0.0062351738061373,0.008669122591443243,0.005834727334325187,0.005512292156648544,0.00371293255327242,0.007675766485504184,0.005787922103842218,0.00144041994990653,0.003744134790467952,0.007041276705191476,0.0051118512516052615,0.005860730258351855,0.004456590967648947,0.009438856602147598,0.008866755912421307,0.013162865830947456,0.007457334703679101,0.0068904565028238135,0.007337717688158038,0.00839867821152366,0.012153820229216194,0.00816984175787542,0.008533900225665754,0.008377874855941806,0.00512745278757404,0.005169056906383001,0.005117051763078601,0.004872628286199056,0.007623758835177322,0.007374122837664597,0.004529397258114548,0.0046698096775942876,0.004524196805412104,0.003806539321038674,0.0026312665716063024,0.0027248713922515093,0.0018564331375272125,0.0024284567049030854,0.0029588841810546545,0.00153402262694581,0.0020644409794233374,0.0010452105043990622,5.772032034858707e-4,0.0012584152268872082,0.0027560730365790635,0.0024492576804694376,0.0019188354027312412,0.0012896159913068346,0.003369709179755342,0.001710828143277401,0.0010660109266482322
