State,week_end_num,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
north-rhine-westphalia,2020.0109289617487,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0920011466041406e-4
north-rhine-westphalia,2020.0300546448088,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.049180327869,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.068306010929,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.0874316939892,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1065573770493,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,4.99202396178144e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1256830601094,-0,-0,-0,5.720031460221995e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1448087431695,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,4.888022973769063e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1639344262296,-0,-0,-0,-0,-0,-0,5.980034385291251e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.001185613516044898,-0,-0,5.460028665213333e-4,-0,-0,4.836022487534156e-4,4.576020134534245e-4,9.204081456366061e-4,4.680021060145474e-4,4.576020134534245e-4,-0,-0,4.3680183457128774e-4,0.001263615352987529,4.3680183457128774e-4,0.0012896159913068346,0.0013208167744416161,9.048078718484659e-4,4.732021530722362e-4,-0,4.732021530722362e-4,-0,-0,4.732021530722362e-4,-0,5.096024970536484e-4,5.044024463558912e-4,5.044024463558912e-4,-0,5.148025482771891e-4,5.044024463558912e-4,-0,-0,-0,3.7440134784568944e-4,3.5880123786735196e-4,3.4840116714657195e-4,3.432011325633059e-4,-0,-0,-0,3.640012740048661e-4,-0,3.9000146250986754e-4,-0,-0,-0,-0,9.828092875793055e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
north-rhine-westphalia,2020.1830601092897,5.980034385291251e-4,-0,-0,5.720031460221995e-4,5.720031460221995e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0012116141153565736,0.002376454302396363,-0,0.0011440125841828258,5.460028665213333e-4,0.0020488403624213725,0.002496059905919493,0.0019344359807302181,9.1520805385195e-4,9.204081456366061e-4,0.0023348524178297934,0.0027456724863896592,0.0013416173069358463,0.002657267893771396,0.0017472293536158062,0.0016848272943518216,0.0030524895914443187,4.3160179114788905e-4,0.0013208167744416161,9.048078718484659e-4,0.002355653355952701,0.0014248195201171272,0.0014248195201171272,0.0013988188142001,0.0018980346393426264,0.0014196193778902011,5.044024463558912e-4,0.002542862173487819,0.0020228393444778857,0.001518422169069036,0.00206964118613459,-0,0.001518422169069036,0.0014040189543411397,0.002142444134650337,0.0012272144811884878,0.0014924214163493834,0.003562122004072948,0.00209044201816847,0.002043640157790284,0.0017160283146203095,0.0017004278021459124,0.0010452105043990622,0.001097211575622629,7.54005466554319e-4,7.748057723194122e-4,8.008061662232416e-4,8.528069930378874e-4,0.003073290816637081,-0,4.888022973769063e-4,5.096024970536484e-4,5.460028665213333e-4,0.0011180120186726644,-0,-0,-0,6.656042598781713e-4,7.332051691094672e-4,8.216064907089019e-4,-0,-0,0.0024180562202402007,-0,7.436053167918634e-4,3.2240099944185553e-4
